Monkey #;No. of traits;Points;Background;Points;Fur;Points;Clothes;Points;Mouth;Points;Eyes;Points;Nose Wear;Points;Face Masks;Points;Ears;Points;Eye Wear;Points;Head;Points;Total Score 
130;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Gold teeth;20.41;Futuristic;31.25;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Mohawk;71.43;248.75
131;4;7.75;Pink;11.76;Cheetah;25.64;Spiked armour;83.33;Frown;1.64;Green;20.83;N/A;1.09;Cyborg;41.67;Gold earring;20.83;N/A;1.97;Mohawk;71.43;287.94
132;3;5.38;Pink;11.76;Rainbow;19.61;Dollar chain;111.11;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;237.01
133;4;7.75;Pink;11.76;Futuristic;33.33;Gold chain;66.67;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Gold earring;20.83;3D glasses;58.82;Mohawk;71.43;295.23
134;4;7.75;Pink;11.76;Cheetah;25.64;Spiked armour;83.33;Gold teeth;20.41;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;3D glasses;58.82;Soccer helmet;166.67;399.06
135;3;5.38;Pink;11.76;Cheetah;25.64;Captain jacket;111.11;Rainbow teeth;25.00;One eye;62.50;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;N/A;2.01;268.60
136;4;7.75;Pink;11.76;Rainbow;19.61;Robot claws;333.33;Rainbow teeth;25.00;Green;20.83;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Braided hair;125.00;568.48
137;4;7.75;Pink;11.76;Rainbow;19.61;Captain jacket;111.11;Sewn mouth;90.91;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;3D glasses;58.82;Soccer helmet;166.67;491.31
138;3;5.38;Pink;11.76;Rainbow;19.61;Mummy;90.91;Frown;1.64;Futuristic;31.25;N/A;1.09;Cyborg;41.67;N/A;1.45;N/A;1.97;Quiff hair;111.11;317.84
139;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Blowing;33.33;N/A;1.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Bandit mask;22.73;Nightvision helmet;76.92;266.24
140;4;7.75;Pink;11.76;Rainbow;19.61;Fur coat;125.00;Tongue out;50.00;Futuristic;31.25;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Braided hair;125.00;395.57
141;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Rainbow teeth;25.00;Green;20.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Ski mask;35.71;N/A;2.01;214.98
142;4;7.75;Pink;11.76;Rainbow;19.61;Greek toga;83.33;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Disco glasses;25.00;Roman leaf crown;90.91;291.80
143;4;7.75;Pink;11.76;Rainbow;19.61;Military jacket;100.00;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;Guy Fawkes;55.56;Stud earrings;11.90;N/A;1.97;Roman helmet;200.00;436.28
144;3;5.38;Pink;11.76;Gold;100.00;Fur coat;125.00;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Disco glasses;25.00;N/A;2.01;326.95
145;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Gold teeth;20.41;One eye;62.50;N/A;1.09;N/A;1.31;Feather earring;28.57;N/A;1.97;Bowler hat;58.82;275.13
146;3;5.38;Pink;11.76;Rainbow;19.61;Mummy;90.91;Frown;1.64;Green;20.83;N/A;1.09;Leather;50.00;N/A;1.45;Disco glasses;25.00;N/A;2.01;229.68
147;4;7.75;Pink;11.76;Cheetah;25.64;Dollar chain;111.11;Blowing;33.33;Eyeball out;125.00;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Dreadlocks;90.91;440.60
148;3;5.38;Pink;11.76;Cheetah;25.64;Tanktop;76.92;Rainbow teeth;25.00;One eye;62.50;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Beret;43.48;256.50
149;4;7.75;Pink;11.76;Lava;50.00;Futuristic;250.00;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;Cyborg;41.67;Stretched earring;83.33;N/A;1.97;Turban;47.62;521.83
150;3;5.38;Pink;11.76;Rainbow;19.61;Fur coat;125.00;Blowing;33.33;N/A;1.83;N/A;1.09;N/A;1.31;Stretched earring;83.33;Disco glasses;25.00;N/A;2.01;309.65
151;3;5.38;Pink;11.76;Red;11.11;Dollar chain;111.11;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;Sailors hat;37.04;242.79
152;4;7.75;Pink;11.76;Red;11.11;Mummy;90.91;Sewn mouth;90.91;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;Bowler hat;58.82;342.07
153;5;26.32;Pink;11.76;Zombie;14.29;Spiked armour;83.33;Sewn mouth;90.91;Futuristic;31.25;N/A;1.09;N/A;1.31;Feather earring;28.57;Disco glasses;25.00;Turban;47.62;361.45
154;3;5.38;Pink;11.76;Zombie;14.29;Fur coat;125.00;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Hard hat;50.00;258.27
155;4;7.75;Pink;11.76;Robot;16.67;Greek toga;83.33;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;Half skeleton;45.45;N/A;1.45;Disco glasses;25.00;Punk hair;62.50;298.31
156;3;5.38;Pink;11.76;Red;11.11;Mummy;90.91;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Gold earring;20.83;N/A;1.97;Top hat;66.67;284.62
157;4;7.75;Pink;11.76;Cream;12.50;Captain jacket;111.11;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Feather earring;28.57;Bandit mask;22.73;Turban;47.62;309.10
158;4;7.75;Pink;11.76;Red;11.11;Tanktop;76.92;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Stretched earring;83.33;Disco glasses;25.00;Beret;43.48;309.36
159;3;5.38;Pink;11.76;Red;11.11;Navy jacket;83.33;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Silver bar earring;13.89;N/A;1.97;Top hat;66.67;282.00
160;3;5.38;Pink;11.76;Zombie;14.29;Mummy;90.91;Rainbow teeth;25.00;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Man bun;52.63;247.46
161;4;7.75;Pink;11.76;Red;11.11;Greek toga;83.33;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;Leather;50.00;Silver bar earring;13.89;Disco glasses;25.00;N/A;2.01;249.25
162;4;7.75;Pink;11.76;Zombie;14.29;Military jacket;100.00;Blowing;33.33;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Ski mask;35.71;N/A;2.01;246.14
163;3;5.38;Pink;11.76;Zombie;14.29;Smoking jacket;166.67;Frown;1.64;Green;20.83;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;Man bun;52.63;402.71
164;4;7.75;Pink;11.76;Red;11.11;Captain jacket;111.11;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;Half skeleton;45.45;N/A;1.45;Disco glasses;25.00;Punk hair;62.50;320.53
165;4;7.75;Pink;11.76;Zombie;14.29;Spiked armour;83.33;Rainbow teeth;25.00;One eye;62.50;N/A;1.09;N/A;1.31;Earphones;16.67;Eyebrow ring;31.25;N/A;2.01;256.96
166;4;7.75;Pink;11.76;Cream;12.50;Navy jacket;83.33;Gold teeth;20.41;Futuristic;31.25;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Sailors hat;37.04;222.30
167;3;5.38;Pink;11.76;Red;11.11;Mummy;90.91;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Hard hat;50.00;212.67
168;4;7.75;Pink;11.76;Red;11.11;Bathrobe;142.86;Rainbow teeth;25.00;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Top hat;66.67;321.78
169;4;7.75;Pink;11.76;Red;11.11;Dollar chain;111.11;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Ski mask;35.71;Turban;47.62;306.01
170;5;26.32;Pink;11.76;Red;11.11;Greek toga;83.33;Rainbow teeth;25.00;Futuristic;31.25;N/A;1.09;N/A;1.31;Earphones;16.67;Cyborg eye;27.78;Trapper hat;40.00;275.62
171;3;5.38;Purple;7.69;Cream;12.50;Baseball jersey;40.00;Rainbow teeth;25.00;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;155.29
172;3;5.38;Purple;7.69;Zombie;14.29;Shirt & sweater;50.00;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Cyborg eye;27.78;Spike helmet;41.67;166.57
173;4;7.75;Purple;7.69;Zombie;14.29;Double sword holster;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Bandit mask;22.73;Trapper hat;40.00;235.91
174;3;5.38;Purple;7.69;Robot;16.67;Shirt & sweater;50.00;Frown;1.64;Futuristic;31.25;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Sailors hat;37.04;167.93
175;3;5.38;Purple;7.69;Red;11.11;Army jacket;45.45;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Hard hat;50.00;160.36
176;3;5.38;Purple;7.69;Zombie;14.29;Army jacket;45.45;Rainbow teeth;25.00;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;N/A;2.01;157.65
177;3;5.38;Purple;7.69;Red;11.11;Baseball jersey;40.00;Frown;1.64;Eyeball out;125.00;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Bowler hat;58.82;270.68
178;3;5.38;Purple;7.69;Cream;12.50;Dinner suit;52.63;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;Oxygen mask;62.50;N/A;1.45;Bandit mask;22.73;N/A;2.01;194.62
179;3;5.38;Purple;7.69;Red;11.11;Body armor;76.92;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Silver bar earring;13.89;Cyborg eye;27.78;N/A;2.01;194.79
180;3;5.38;Purple;7.69;Cream;12.50;Baseball jersey;40.00;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;Vizor hat;55.56;293.95
181;3;5.38;Purple;7.69;Robot;16.67;Army jacket;45.45;Frown;1.64;Green;20.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;N/A;2.01;155.11
182;3;5.38;Purple;7.69;Red;11.11;Straight jacket;41.67;Frown;1.64;Green;20.83;N/A;1.09;Leather;50.00;N/A;1.45;Disco glasses;25.00;N/A;2.01;167.87
183;3;5.38;Purple;7.69;Robot;16.67;Army jacket;45.45;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Disco glasses;25.00;N/A;2.01;159.14
184;4;7.75;Purple;7.69;Cream;12.50;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Disco glasses;25.00;Man bun;52.63;225.01
185;4;7.75;Purple;7.69;Robot;16.67;Waistcoat;55.56;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Silver bar earring;13.89;Cyborg eye;27.78;Long hair;45.45;224.80
186;3;5.38;Purple;7.69;Robot;16.67;Army jacket;45.45;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Sailors hat;37.04;152.73
187;3;5.38;Purple;7.69;Red;11.11;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Silver bar earring;13.89;N/A;1.97;Vizor hat;55.56;243.02
188;3;5.38;Purple;7.69;Red;11.11;Double sword holster;62.50;Rainbow teeth;25.00;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Trapper hat;40.00;178.33
189;3;5.38;Purple;7.69;Cream;12.50;Shirt & sweater;50.00;Tongue out;50.00;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Long hair;45.45;199.43
190;3;5.38;Purple;7.69;Red;11.11;Shirt & sweater;50.00;Tongue out;50.00;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Bowler hat;58.82;213.82
191;3;5.38;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Blowing;33.33;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Man bun;52.63;175.25
192;3;5.38;Purple;7.69;Robot;16.67;Striped t-shirt;43.48;Frown;1.64;Futuristic;31.25;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;Hard hat;50.00;285.62
193;3;5.38;Purple;7.69;Robot;16.67;Dinner suit;52.63;Blowing;33.33;One eye;62.50;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;N/A;2.01;215.31
194;3;5.38;Purple;7.69;Zombie;14.29;Waistcoat;55.56;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Trapper hat;40.00;163.42
195;3;5.38;Purple;7.69;Robot;16.67;Baseball jersey;40.00;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;Beret;43.48;179.42
196;4;7.75;Purple;7.69;Robot;16.67;FLAK vest;71.43;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Bandit mask;22.73;Top hat;66.67;236.06
197;3;5.38;Purple;7.69;Red;11.11;Baseball jersey;40.00;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;Hard hat;50.00;165.27
198;3;5.38;Purple;7.69;Zombie;14.29;Puffa jacket;58.82;Sewn mouth;90.91;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Long hair;45.45;245.41
199;3;5.38;Purple;7.69;Robot;16.67;Body armor;76.92;Rainbow teeth;25.00;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;176.93
200;4;7.75;Purple;7.69;Zombie;14.29;Straight jacket;41.67;Frown;1.64;One eye;62.50;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;N/A;1.97;Turban;47.62;262.61
201;3;5.38;Purple;7.69;Zombie;14.29;Waistcoat;55.56;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;Vizor hat;55.56;204.87
202;3;5.38;Purple;7.69;Cream;12.50;Turtleneck jumper;38.46;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Hard hat;50.00;154.76
203;3;5.38;Purple;7.69;Zombie;14.29;Striped t-shirt;43.48;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;Horror;100.00;Silver bar earring;13.89;N/A;1.97;N/A;2.01;216.44
204;3;5.38;Purple;7.69;Cream;12.50;Baseball jersey;40.00;Frown;1.64;Futuristic;31.25;N/A;1.09;Cyborg;41.67;N/A;1.45;N/A;1.97;Punk hair;62.50;207.14
205;3;5.38;Purple;7.69;Zombie;14.29;Dinner suit;52.63;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;Vizor hat;55.56;218.42
206;3;5.38;Purple;7.69;Zombie;14.29;Puffa jacket;58.82;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;N/A;1.45;Bandit mask;22.73;Turban;47.62;225.04
207;3;5.38;Purple;7.69;Robot;16.67;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Silver bar earring;13.89;N/A;1.97;Sailors hat;37.04;237.20
208;3;5.38;Purple;7.69;Robot;16.67;Double sword holster;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Bandit mask;22.73;N/A;2.01;173.92
209;3;5.38;Purple;7.69;Zombie;14.29;Puffa jacket;58.82;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Earphones;16.67;Ski mask;35.71;N/A;2.01;165.44
210;4;7.75;Purple;7.69;Robot;16.67;Baseball jersey;40.00;Frown;1.64;Green;20.83;N/A;1.09;Cyborg;41.67;Silver bar earring;13.89;N/A;1.97;Spike helmet;41.67;194.87
211;4;7.75;Purple;7.69;Robot;16.67;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Leather;50.00;Silver bar earring;13.89;Disco glasses;25.00;Beret;43.48;240.47
212;4;7.75;Purple;7.69;Zombie;14.29;Straight jacket;41.67;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Disco glasses;25.00;Trapper hat;40.00;193.34
213;4;7.75;Purple;7.69;Red;11.11;Army jacket;45.45;Frown;1.64;One eye;62.50;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Eyebrow ring;31.25;Spike helmet;41.67;225.35
214;4;7.75;Purple;7.69;Red;11.11;Double sword holster;62.50;Blowing;33.33;Futuristic;31.25;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Man bun;52.63;227.30
215;3;5.38;Purple;7.69;Zombie;14.29;Striped t-shirt;43.48;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Trapper hat;40.00;154.12
216;3;5.38;Purple;7.69;Red;11.11;Straight jacket;41.67;Frown;1.64;Futuristic;31.25;N/A;1.09;Leather;50.00;N/A;1.45;Disco glasses;25.00;N/A;2.01;178.29
217;3;5.38;Purple;7.69;Cream;12.50;Baseball jersey;40.00;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Ski mask;35.71;N/A;2.01;160.23
218;3;5.38;Purple;7.69;Cream;12.50;Hawaiian shirt;71.43;Blowing;33.33;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Ski mask;35.71;N/A;2.01;188.95
219;3;5.38;Purple;7.69;Zombie;14.29;Waistcoat;55.56;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Bandit mask;22.73;N/A;2.01;188.61
220;3;5.38;Purple;7.69;Red;11.11;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Silver bar earring;13.89;Disco glasses;25.00;N/A;2.01;181.76
221;3;5.38;Purple;7.69;Cream;12.50;Dinner suit;52.63;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Cyborg eye;27.78;Punk hair;62.50;188.24
222;4;7.75;Purple;7.69;Robot;16.67;Dinner suit;52.63;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Bandit mask;22.73;Vizor hat;55.56;243.98
223;3;5.38;Purple;7.69;Zombie;14.29;FLAK vest;71.43;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Long hair;45.45;193.06
224;3;5.38;Purple;7.69;Robot;16.67;Dinner suit;52.63;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Spike helmet;41.67;167.32
225;3;5.38;Purple;7.69;Zombie;14.29;Shirt & sweater;50.00;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Bowler hat;58.82;179.46
226;4;7.75;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Gold teeth;20.41;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Spike helmet;41.67;189.97
227;4;7.75;Purple;7.69;Robot;16.67;Baseball jersey;40.00;Tongue out;50.00;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Punk hair;62.50;247.32
228;3;5.38;Purple;7.69;Cream;12.50;Hawaiian shirt;71.43;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Bandit mask;22.73;N/A;2.01;164.86
229;3;5.38;Purple;7.69;Red;11.11;Waistcoat;55.56;Gold teeth;20.41;Futuristic;31.25;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;151.67
230;3;5.38;Purple;7.69;Cream;12.50;Turtleneck jumper;38.46;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Punk hair;62.50;180.40
231;3;5.38;Purple;7.69;Robot;16.67;Body armor;76.92;Tongue out;50.00;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Disco glasses;25.00;N/A;2.01;201.79
232;4;7.75;Purple;7.69;Red;11.11;Straight jacket;41.67;Tongue out;50.00;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;Turban;47.62;247.07
233;3;5.38;Purple;7.69;Robot;16.67;Body armor;76.92;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Ski mask;35.71;N/A;2.01;225.33
234;4;7.75;Purple;7.69;Robot;16.67;Striped t-shirt;43.48;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;Hard hat;50.00;207.67
235;3;5.38;Purple;7.69;Cream;12.50;Army jacket;45.45;Rainbow teeth;25.00;Eyeball out;125.00;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;244.07
236;4;7.75;Purple;7.69;Zombie;14.29;Striped t-shirt;43.48;Gold teeth;20.41;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Vizor hat;55.56;217.43
237;3;5.38;Purple;7.69;Red;11.11;Shirt & sweater;50.00;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Bandit mask;22.73;N/A;2.01;155.86
238;3;5.38;Purple;7.69;Cream;12.50;Body armor;76.92;Frown;1.64;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;Long hair;45.45;209.68
239;4;7.75;Purple;7.69;Cream;12.50;Straight jacket;41.67;Blowing;33.33;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Spike helmet;41.67;197.07
240;3;5.38;Purple;7.69;Zombie;14.29;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Silver bar earring;13.89;N/A;1.97;Hard hat;50.00;243.61
241;3;5.38;Purple;7.69;Cream;12.50;Waistcoat;55.56;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Bandit mask;22.73;N/A;2.01;147.18
242;4;7.75;Purple;7.69;Cream;12.50;Dinner suit;52.63;Frown;1.64;Green;20.83;N/A;1.09;Leather;50.00;Silver bar earring;13.89;Disco glasses;25.00;N/A;2.01;195.03
243;4;7.75;Purple;7.69;Cream;12.50;Hawaiian shirt;71.43;Side smile;13.33;Futuristic;31.25;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Turban;47.62;209.83
244;4;7.75;Purple;7.69;Zombie;14.29;Double sword holster;62.50;Side smile;13.33;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Ski mask;35.71;N/A;2.01;184.57
245;3;5.38;Purple;7.69;Zombie;14.29;Straight jacket;41.67;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Vizor hat;55.56;177.81
246;3;5.38;Purple;7.69;Cream;12.50;Baseball jersey;40.00;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Sailors hat;37.04;160.88
247;3;5.38;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Silver teeth;20.00;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;N/A;2.01;138.50
248;3;5.38;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Bandit mask;22.73;Punk hair;62.50;170.41
249;3;5.38;Purple;7.69;Cream;12.50;Puffa jacket;58.82;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;Turban;47.62;190.92
250;3;5.38;Purple;7.69;Red;11.11;Waistcoat;55.56;Side smile;13.33;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Turban;47.62;177.76
251;4;7.75;Purple;7.69;Robot;16.67;Double sword holster;62.50;Missing teeth;16.13;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Turban;47.62;209.94
252;3;5.38;Purple;7.69;Zombie;14.29;Double sword holster;62.50;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Man bun;52.63;190.17
253;3;5.38;Purple;7.69;Zombie;14.29;Waistcoat;55.56;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;N/A;1.45;Bandit mask;22.73;Sailors hat;37.04;211.20
254;3;5.38;Purple;7.69;Zombie;14.29;Army jacket;45.45;Goofy smile;18.52;Red hypnotised;16.13;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;127.73
255;3;5.38;Purple;7.69;Zombie;14.29;Straight jacket;41.67;Frown;1.64;Fire;22.22;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Eyebrow ring;31.25;N/A;2.01;142.44
256;4;7.75;Purple;7.69;Red;11.11;Baseball jersey;40.00;Frown;1.64;Multicoloured;20.00;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;Trapper hat;40.00;183.63
257;3;5.38;Purple;7.69;Red;11.11;Hawaiian shirt;71.43;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Vizor hat;55.56;193.85
258;3;5.38;Purple;7.69;Red;11.11;Shirt & sweater;50.00;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Silver bar earring;13.89;Eyebrow ring;31.25;N/A;2.01;171.34
259;3;5.38;Purple;7.69;Cream;12.50;Waistcoat;55.56;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Disco glasses;25.00;N/A;2.01;140.36
260;4;7.75;Purple;7.69;Zombie;14.29;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Disco glasses;25.00;Long hair;45.45;223.79
261;3;5.38;Purple;7.69;Zombie;14.29;Body armor;76.92;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;N/A;1.45;Cyborg eye;27.78;Top hat;66.67;250.19
262;3;5.38;Purple;7.69;Robot;16.67;Dinner suit;52.63;Frown;1.64;Fire;22.22;N/A;1.09;Cyborg;41.67;N/A;1.45;N/A;1.97;Long hair;45.45;197.86
